COD_ESCOLA;SITUACAO_FUNCIONAMENTO;TIPO_LOCALIZACAO;TIPO_REDE;ENDERECO_BAIRRO;MUNICIPIO;ESTADO;CEP;LATITUDE;LONGITUDE;QT_SALAS_EXISTENTES;QT_SALAS_UTILIZADAS;QT_MAT_INF;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_MED;QT_MAT_EJA;QT_MAT_PROF;QT_MAT_ESP;QT_DOC_INF;QT_DOC_FUND_AI;QT_DOC_FUND_AF;QT_DOC_MED;QT_DOC_EJA;QT_DOC_PROF;QT_TUR_INF;QT_TUR_FUND_AI;QT_TUR_FUND_AF;QT_TUR_MED;QT_TUR_EJA;QT_TUR_PROF
41353854;Em Atividade;Urbana;Municipal;LINDOIA;Curitiba;PR;81010120;-25.47892;-49.27289;null;7;162;0;0;0;0;0;2;25;0;0;0;0;0;7;0;0;0;0;0
41356527;Em Atividade;Urbana;Privada;BOQUEIRAO;Curitiba;PR;81730030;-25.519398;-49.22485;null;4;90;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;0;0;0
41486846;Em Atividade;Urbana;Privada;SITIO CERCADO;Curitiba;PR;81925540;-25.54488;-49.27229;null;19;95;199;279;130;0;0;12;7;14;17;14;0;0;10;10;12;5;0;0
41149521;Em Atividade;Urbana;Privada;XAXIM;Curitiba;PR;81810310;-25.506313;-49.279694;null;5;54;0;0;0;0;0;1;4;0;0;0;0;0;5;0;0;0;0;0
41131444;Paralisada;Urbana;Privada;CABRAL;Curitiba;PR;80035050;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41601971;Extinta no Ano do Censo;Urbana;Privada;CABRAL;Curitiba;PR;80035110;-25.410221;-49.251045;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41131665;Em Atividade;Urbana;Privada;PRADO VELHO;Curitiba;PR;80215434;-25.45036;-49.247086;null;17;43;105;72;0;0;0;6;4;10;11;0;0;0;4;5;4;0;0;0
41355784;Em Atividade;Urbana;Municipal;CAPAO DA IMBUIA;Curitiba;PR;82810300;-25.437502;-49.205757;null;5;126;0;0;0;0;0;7;16;0;0;0;0;0;5;0;0;0;0;0
41128982;Em Atividade;Urbana;Municipal;SAO LOURENCO;Curitiba;PR;82210130;-25.38654;-49.26222;null;10;50;460;0;0;0;0;9;9;31;0;0;0;0;2;17;0;0;0;0
41126882;Em Atividade;Urbana;Privada;BAIRRO ALTO;Curitiba;PR;82840100;-25.40396;-49.21611;null;9;0;43;0;0;107;0;150;0;10;0;0;15;0;0;5;0;0;11;0
41131630;Em Atividade;Urbana;Privada;BATEL;Curitiba;PR;80420180;-25.436895;-49.284092;null;40;132;241;199;113;0;0;35;16;21;14;13;0;0;11;13;8;5;0;0
41153537;Em Atividade;Urbana;Privada;BACACHERI;Curitiba;PR;82510020;-25.4094;-49.24084;null;9;38;41;0;0;0;0;3;5;8;0;0;0;0;4;5;0;0;0;0
41149076;Em Atividade;Urbana;Privada;CIDADE INDUSTRIAL;Curitiba;PR;81270320;-25.45083;-49.35311;null;4;62;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0
41161033;Em Atividade;Urbana;Municipal;PILARZINHO;Curitiba;PR;82110230;-25.388744;-49.29315;null;6;118;0;0;0;0;0;2;18;0;0;0;0;0;6;0;0;0;0;0
41355750;Em Atividade;Urbana;Municipal;SITIO CERCADO;Curitiba;PR;81920758;-25.542507;-49.26072;null;10;261;0;0;0;0;0;5;32;0;0;0;0;0;11;0;0;0;0;0
41129270;Em Atividade;Urbana;Municipal;CAPAO DA IMBUIA;Curitiba;PR;82810230;-25.441399;-49.20516;null;20;107;470;0;0;0;0;2;15;25;0;0;0;0;5;17;0;0;0;0
41164180;Em Atividade;Urbana;Privada;SANTA FELICIDADE;Curitiba;PR;82020510;null;null;null;5;33;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0
41372867;Em Atividade;Urbana;Municipal;TATUQUARA;Curitiba;PR;81480168;-25.559439;-49.315453;null;15;50;352;0;0;0;0;25;2;25;0;0;0;0;2;14;0;0;0;0
41130782;Em Atividade;Urbana;Estadual;MERCES;Curitiba;PR;80710570;-25.424757;-49.300465;null;17;0;0;227;193;0;29;16;0;0;18;21;0;13;0;0;8;7;0;1
41546890;Em Atividade;Urbana;Privada;AGUA VERDE;Curitiba;PR;80620220;-25.45929;-49.2754;null;7;88;0;0;0;0;0;1;7;0;0;0;0;0;7;0;0;0;0;0
41151941;Em Atividade;Urbana;Privada;VILA IZABEL;Curitiba;PR;80320090;-25.460129;-49.299725;null;6;28;0;0;0;0;0;1;3;0;0;0;0;0;3;0;0;0;0;0
41377591;Em Atividade;Urbana;Estadual;CIC;Curitiba;PR;81450480;-25.493933;-49.34941;null;19;0;0;615;711;0;29;49;0;0;40;45;0;14;0;0;20;21;0;1
41160347;Em Atividade;Urbana;Privada;BIGORRILHO;Curitiba;PR;80730380;-25.410868;-49.27539;null;5;29;0;0;0;0;0;1;4;0;0;0;0;0;6;0;0;0;0;0
41162072;Em Atividade;Urbana;Privada;BOQUEIRAO;Curitiba;PR;81750440;-25.514585;-49.23873;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41130421;Em Atividade;Urbana;Estadual;REBOUCAS;Curitiba;PR;80220080;-25.454828;-49.268166;null;20;0;0;152;419;0;165;15;0;0;17;37;0;27;0;0;6;16;0;7
41161211;Em Atividade;Urbana;Municipal;CIDADE INDUSTRIAL;Curitiba;PR;81460157;-25.529871;-49.33389;null;8;125;0;0;0;0;0;0;19;0;0;0;0;0;7;0;0;0;0;0
41411021;Em Atividade;Urbana;Municipal;CIC;Curitiba;PR;81350100;-25.507864;-49.33479;null;14;339;0;0;0;0;0;1;44;0;0;0;0;0;14;0;0;0;0;0
41132947;Em Atividade;Urbana;Municipal;CAJURU;Curitiba;PR;82930230;-25.457983;-49.20446;null;17;93;413;0;0;0;0;6;10;34;0;0;0;0;4;14;0;0;0;0
41361970;Em Atividade;Urbana;Privada;CAMPO COMPRIDO;Curitiba;PR;81265210;-25.4766;-49.37633;null;10;0;62;0;0;0;0;62;0;10;0;0;0;0;0;9;0;0;0;0
41132980;Em Atividade;Urbana;Municipal;BOQUEIRAO;Curitiba;PR;81750450;-25.516947;-49.249096;null;16;48;370;0;0;0;0;29;4;22;0;0;0;0;2;14;0;0;0;0
41151933;Em Atividade;Urbana;Privada;JUVEVE;Curitiba;PR;80030400;-25.41403;-49.25572;null;6;60;0;0;0;0;0;0;8;0;0;0;0;0;6;0;0;0;0;0
41387163;Em Atividade;Urbana;Municipal;ALTO BOQUEIRAO;Curitiba;PR;81770790;-25.537054;-49.23274;null;13;51;272;0;0;0;0;14;2;16;0;0;0;0;2;10;0;0;0;0
41156196;Em Atividade;Urbana;Privada;VISTA ALEGRE;Curitiba;PR;82100240;-25.40473;-49.29106;null;6;82;0;0;0;0;0;2;10;0;0;0;0;0;10;0;0;0;0;0
41380525;Em Atividade;Urbana;Privada;JARDIM DAS AMERICAS;Curitiba;PR;81530000;-25.452541;-49.230362;null;34;170;405;147;0;0;0;12;16;19;11;0;0;0;19;19;5;0;0;0
41356209;Em Atividade;Urbana;Municipal;ABRANCHES;Curitiba;PR;82220290;-25.368496;-49.273476;null;8;196;0;0;0;0;0;2;24;0;0;0;0;0;8;0;0;0;0;0
41129695;Em Atividade;Urbana;Municipal;BOQUEIRAO;Curitiba;PR;81670464;-25.489763;-49.257637;null;8;25;372;0;0;35;0;21;1;27;0;0;2;0;1;15;0;0;2;0
41128974;Em Atividade;Urbana;Municipal;BOA VISTA;Curitiba;PR;82650090;-25.379229;-49.245544;null;11;0;354;0;0;11;0;43;0;37;0;0;1;0;0;13;0;0;2;0
41154525;Paralisada;Urbana;Privada;PINHEIRINHO;Curitiba;PR;81880000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41353781;Em Atividade;Urbana;Municipal;ALTO BOQUEIRAO;Curitiba;PR;81770200;-25.528698;-49.24598;null;4;84;0;0;0;0;0;4;12;0;0;0;0;0;4;0;0;0;0;0
41353803;Em Atividade;Urbana;Municipal;BOQUEIRAO;Curitiba;PR;81650050;-25.48949;-49.238346;null;7;133;0;0;0;0;0;1;17;0;0;0;0;0;6;0;0;0;0;0
41377516;Em Atividade;Urbana;Privada;JUVEVE;Curitiba;PR;80040130;-25.420977;-49.250763;null;27;191;231;20;0;0;0;2;13;20;10;0;0;0;13;11;2;0;0;0
41361989;Em Atividade;Urbana;Estadual;UBERABA;Curitiba;PR;81590370;-25.485205;-49.203747;null;18;0;0;682;367;0;0;42;0;0;40;31;0;0;0;0;23;12;0;0
41159039;Paralisada;Urbana;Privada;AGUA VERDE;Curitiba;PR;82810060;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41130065;Em Atividade;Urbana;Estadual;XAXIM;Curitiba;PR;81710210;-25.499718;-49.26596;null;27;0;0;894;694;0;34;59;0;0;53;50;0;13;0;0;30;20;0;1
41130090;Em Atividade;Urbana;Privada;PORTAO;Curitiba;PR;81070000;-25.47411;-49.294422;null;67;0;450;640;390;0;0;65;0;32;39;37;0;0;0;21;22;9;0;0
41358830;Em Atividade;Urbana;Municipal;SITIO CERCADO;Curitiba;PR;81925120;-25.546572;-49.267952;null;1;25;479;0;0;20;0;45;2;36;0;0;3;0;1;17;0;0;2;0
41127129;Em Atividade;Urbana;Municipal;CIC;Curitiba;PR;81450020;-25.53109;-49.33483;null;17;73;618;0;0;49;0;40;4;31;0;0;5;0;3;24;0;0;3;0
41132360;Em Atividade;Urbana;Privada;PORTAO;Curitiba;PR;80610150;-25.468552;-49.29057;null;5;31;0;0;0;0;0;0;5;0;0;0;0;0;12;0;0;0;0;0
41129466;Em Atividade;Urbana;Municipal;ALTO BOQUEIRAO;Curitiba;PR;81770000;-25.53;-49.24642;null;17;90;404;0;0;13;0;25;13;25;0;0;2;0;4;16;0;0;2;0
41131886;Em Atividade;Urbana;Estadual;SAO BRAZ;Curitiba;PR;82315260;-25.41552;-49.360645;null;12;0;0;287;140;0;0;24;0;0;31;18;0;0;0;0;11;4;0;0
41127250;Em Atividade;Urbana;Privada;CENTRO;Curitiba;PR;80420010;-25.435629;-49.282227;null;10;146;0;0;0;0;0;2;11;0;0;0;0;0;10;0;0;0;0;0
41388798;Em Atividade;Urbana;Privada;BOQUEIRAO;Curitiba;PR;81670100;-25.4962;-49.2496;null;11;148;24;0;0;0;0;0;9;6;0;0;0;0;9;4;0;0;0;0
41129105;Em Atividade;Urbana;Municipal;BACACHERI;Curitiba;PR;82515382;-25.38864;-49.22583;null;17;161;614;0;0;0;0;36;13;35;0;0;0;0;8;22;0;0;0;0
41129296;Em Atividade;Urbana;Municipal;NOVO MUNDO;Curitiba;PR;81050610;-25.484169;-49.313477;null;14;71;147;0;0;0;0;16;5;18;0;0;0;0;3;6;0;0;0;0
41386493;Em Atividade;Urbana;Privada;SAO BRAZ;Curitiba;PR;82320400;-25.406158;-49.347134;null;7;0;0;0;0;72;0;72;0;0;0;0;10;0;0;0;0;0;7;0
41613970;Em Atividade;Urbana;Privada;AGUA VERDE;Curitiba;PR;80620210;-25.46339;-49.28848;null;5;75;0;0;0;0;0;0;4;0;0;0;0;0;10;0;0;0;0;0
41150090;Em Atividade;Urbana;Privada;BOM RETIRO;Curitiba;PR;80520250;-25.410717;-49.281624;null;7;33;0;0;0;0;0;1;5;0;0;0;0;0;5;0;0;0;0;0
41130383;Em Atividade;Urbana;Municipal;PINHEIRINHO;Curitiba;PR;81820030;-25.519577;-49.286224;null;7;58;127;0;0;0;0;2;8;17;0;0;0;0;4;7;0;0;0;0
41133102;Em Atividade;Urbana;Estadual;SANTA CANDIDA;Curitiba;PR;82640010;-25.374243;-49.22424;null;24;0;0;918;1142;0;338;53;0;0;51;58;0;34;0;0;26;30;0;9
41157400;Em Atividade;Urbana;Municipal;CAMPO DE SANTANA;Curitiba;PR;81490524;-25.590597;-49.335304;null;6;151;0;0;0;0;0;4;21;0;0;0;0;0;6;0;0;0;0;0
41355938;Em Atividade;Urbana;Municipal;CIC;Curitiba;PR;81240190;-25.476627;-49.33927;null;2;31;0;0;0;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0
41133943;Em Atividade;Urbana;Privada;CENTRO CIVICO;Curitiba;PR;80030060;-25.421486;-49.267708;null;11;71;104;0;0;0;0;175;10;18;0;0;0;0;12;27;0;0;0;0
